"CODI_EQUIPAMENT","EQUIPAMENT","SECCIO","TIPUS_VIA","NOM_CARRER","NUM_CARRER_1","NUM_CARRER_2","CODI_BARRI","NUM_BARRI","CODI_DISTRICTE","NOM_DISTRICTE","CODI_POSTAL","CODI_POBLACIO","POBLACIO","LATITUD","LONGITUD","X_ETRS89","Y_ETRS89","X_ED50","Y_ED50","TELEFON_NUM","TELEFON_TIPUS","TELEFON_INFO_COM","HORARI_PERIODE_INICI","HORARI_PERIODE_FI","HORARI_DIES","HORARI_HORES_INICI","HORARI_HORES_FI","HORARI_OBSERVACIONS",
"99400010755","Punt d'Informació i Atenció a les Dones de l'Eixample","#","C","Calàbria","264","264","09","la Nova Esquerra de l'Eixample","02","Eixample","08029","019","BARCELONA","41.387183","2.145349","428544.437","4582091.815","428636.352","4582292.749","936197311","Cita prèvia","per telefòn (dl-dj: 9-14 i de 16-19/ dv de 9-14)","01/09","31/07","1101111","17:00:00","18:00:00","Horari per demanar<br>cita prèvia<br> presencialment",
"99400010755","Punt d'Informació i Atenció a les Dones de l'Eixample","#","C","Calàbria","264","264","09","la Nova Esquerra de l'Eixample","02","Eixample","08029","019","BARCELONA","41.387183","2.145349","428544.437","4582091.815","428636.352","4582292.749","936197311","Cita prèvia","per telefòn (dl-dj: 9-14 i de 16-19/ dv de 9-14)","01/09","31/07","1111011","09:00:00","10:00:00"," ",
"99400010755","Punt d'Informació i Atenció a les Dones de l'Eixample","#","C","Calàbria","264","264","09","la Nova Esquerra de l'Eixample","02","Eixample","08029","019","BARCELONA","41.387183","2.145349","428544.437","4582091.815","428636.352","4582292.749","936197311","Cita prèvia","per telefòn (dl-dj: 9-14 i de 16-19/ dv de 9-14)","01/08","31/08","1111011","09:00:00","10:00:00"," ",
"99400026680","Punt d'Informació i Atenció a les Dones d'Horta-Guinardó","#","C","Arenys","75","75","38","la Teixonera","07","Horta-Guinardó","08035","019","BARCELONA","41.42255","2.14465","428524.832","4586018.803","428616.746","4586219.774","936197311","Cita prèvia","per telefòn (dl-dj: 9-14 i de 16-19/ dv de 9-14)","01/01","31/12","0111111","09:00:00","10:00:00","Horari per demanar<br>cita prèvia<br> presencialment",
"99400026680","Punt d'Informació i Atenció a les Dones d'Horta-Guinardó","#","C","Arenys","75","75","38","la Teixonera","07","Horta-Guinardó","08035","019","BARCELONA","41.42255","2.14465","428524.832","4586018.803","428616.746","4586219.774","936197311","Cita prèvia","per telefòn (dl-dj: 9-14 i de 16-19/ dv de 9-14)","01/01","31/12","1011111","18:00:00","19:00:00"," ",
"99400029777","Punt d'Informació i Atenció a les Dones de Les Corts","#","Pl","Comas","18","18","19","les Corts","04","Les Corts","08028","019","BARCELONA","41.385644","2.12978","427241.063","4581933.908","427332.966","4582134.841","936197311","Cita prèvia","per telefòn (dl-dj: 9-14 i de 16-19/ dv de 9-14)","01/09","29/07","0111111","18:00:00","19:00:00","Horari per demanar<br>cita prèvia<br> presencialment",
"99400029777","Punt d'Informació i Atenció a les Dones de Les Corts","#","Pl","Comas","18","18","19","les Corts","04","Les Corts","08028","019","BARCELONA","41.385644","2.12978","427241.063","4581933.908","427332.966","4582134.841","936197311","Cita prèvia","per telefòn (dl-dj: 9-14 i de 16-19/ dv de 9-14)","01/09","29/07","1011111","10:00:00","11:00:00"," ",
"99400029783","Punt d'Informació i Atenció a les Dones de Nou Barris","#","Pl","Major de Nou Barris","1","1","48","la Guineueta","08","Nou Barris","08042","019","BARCELONA","41.436844","2.171238","430761.733","4587584.152","430853.667","4587785.138","936197311","Cita prèvia","per telefòn (dl-dj: 9-14 i de 16-19/ dv de 9-14)","01/09","29/07","1101111","16:00:00","17:00:00","Horari per demanar<br>cita prèvia<br> presencialment",
"99400029783","Punt d'Informació i Atenció a les Dones de Nou Barris","#","Pl","Major de Nou Barris","1","1","48","la Guineueta","08","Nou Barris","08042","019","BARCELONA","41.436844","2.171238","430761.733","4587584.152","430853.667","4587785.138","936197311","Cita prèvia","per telefòn (dl-dj: 9-14 i de 16-19/ dv de 9-14)","01/09","29/07","1110111","11:00:00","12:00:00"," ",
"99400097445","Punt d'Informació i Atenció a les Dones de Gràcia","#","Pl","Vila de Gràcia","2","2","31","la Vila de Gràcia","06","Gràcia","08012","019","BARCELONA","41.4","2.157879","429605.888","4583504.574","429697.812","4583705.522","936197311","Cita prèvia","per telefòn (dl-dj: 9-14 i de 16-19/ dv de 9-14)","01/09","29/07","0111111","19:00:00","20:00:00","Horari per demanar<br>cita prèvia<br> presencialment",
"99400097445","Punt d'Informació i Atenció a les Dones de Gràcia","#","Pl","Vila de Gràcia","2","2","31","la Vila de Gràcia","06","Gràcia","08012","019","BARCELONA","41.4","2.157879","429605.888","4583504.574","429697.812","4583705.522","936197311","Cita prèvia","per telefòn (dl-dj: 9-14 i de 16-19/ dv de 9-14)","01/09","29/07","1111011","12:00:00","13:00:00"," ",
"99400098262","Punt d'Informació i Atenció a les Dones de Sant Martí","#","G.V.","Corts Catalanes","837","837","65","el Clot","10","Sant Martí","08018","019","BARCELONA","41.404946","2.188469","432168.176","4584029.207","432260.124","4584230.16","936197311","Cita prèvia","per telefòn (dl-dj: 9-14 i de 16-19/ dv de 9-14)","01/09","29/07","0111111","15:00:00","16:00:00","Horari per demanar<br>cita prèvia<br> presencialment",
"99400098262","Punt d'Informació i Atenció a les Dones de Sant Martí","#","G.V.","Corts Catalanes","837","837","65","el Clot","10","Sant Martí","08018","019","BARCELONA","41.404946","2.188469","432168.176","4584029.207","432260.124","4584230.16","936197311","Cita prèvia","per telefòn (dl-dj: 9-14 i de 16-19/ dv de 9-14)","01/09","29/07","1101111","11:00:00","12:00:00"," ",
"99400146163","Punt d'Informació i Atenció a les Dones de Sants-Montjuïc","#","Pas","Fructuós Gelabert","2","2","18","Sants","03","Sants-Montjuïc","08014","019","BARCELONA","41.375227","2.136551","427795.621","4580771.795","427887.53","4580972.717","936197311","Cita prèvia","per telefòn (dl-dj: 9-14 i de 16-19/ dv de 9-14)","01/09","29/07","1011111","19:00:00","20:00:00","Horari per demanar<br> cita prèvia presencialment",
"99400146163","Punt d'Informació i Atenció a les Dones de Sants-Montjuïc","#","Pas","Fructuós Gelabert","2","2","18","Sants","03","Sants-Montjuïc","08014","019","BARCELONA","41.375227","2.136551","427795.621","4580771.795","427887.53","4580972.717","936197311","Cita prèvia","per telefòn (dl-dj: 9-14 i de 16-19/ dv de 9-14)","01/09","29/07","1110111","13:00:00","14:00:00"," ",
"99400169396","Punt d'Informació i Atenció a les Dones de Sarrià-Sant Gervasi","#","Pl","Consell de la Vila","7","7","23","Sarrià","05","Sarrià-Sant Gervasi","08034","019","BARCELONA","41.399129","2.12142","426557.268","4583438.121","426649.164","4583639.067","936197311","Cita prèvia","per telefòn (dl-dj: 9-14 i de 16-19/ dv de 9-14)","01/09","29/07","1101111","10:00:00","11:00:00","Horari per demanar<br>cita prèvia<br> presencialment",
"99400169396","Punt d'Informació i Atenció a les Dones de Sarrià-Sant Gervasi","#","Pl","Consell de la Vila","7","7","23","Sarrià","05","Sarrià-Sant Gervasi","08034","019","BARCELONA","41.399129","2.12142","426557.268","4583438.121","426649.164","4583639.067","936197311","Cita prèvia","per telefòn (dl-dj: 9-14 i de 16-19/ dv de 9-14)","01/09","29/07","1110111","16:00:00","17:00:00"," ",
"99400169820","Punt d'Informació i Atenció a les Dones de Ciutat Vella","#","C","Nou de la Rambla","45","45","01","el Raval","01","Ciutat Vella","08001","019","BARCELONA","41.377328","2.172506","430804.547","4580975.747","430896.483","4581176.672","936197311","Cita prèvia","per telefòn (dl-dj: 9-14 i de 16-19/ dv de 9-14)","01/09","29/07","1011111","13:00:00","14:00:00","Horari per demanar<br>cita prèvia<br> presencialment",
"99400169820","Punt d'Informació i Atenció a les Dones de Ciutat Vella","#","C","Nou de la Rambla","45","45","01","el Raval","01","Ciutat Vella","08001","019","BARCELONA","41.377328","2.172506","430804.547","4580975.747","430896.483","4581176.672","936197311","Cita prèvia","per telefòn (dl-dj: 9-14 i de 16-19/ dv de 9-14)","01/09","29/07","1110111","15:00:00","16:00:00"," ",
"99400179083","Punt d'Informació i Atenció a les Dones de Sant Andreu","#","C","Foradada","36","36","57","la Trinitat Vella","09","Sant Andreu","08033","019","BARCELONA","41.45165","2.191212","432445.883","4589212.098","432537.832","4589413.099","936197311","Cita prèvia","per telefòn (dl-dj: 9-14 i de 16-19/ dv de 9-14)","30/07","31/08","1011111","12:00:00","13:00:00","Horari per demanar<br>cita prèvia<br> presencialment",
"99400179083","Punt d'Informació i Atenció a les Dones de Sant Andreu","#","C","Foradada","36","36","57","la Trinitat Vella","09","Sant Andreu","08033","019","BARCELONA","41.45165","2.191212","432445.883","4589212.098","432537.832","4589413.099","936197311","Cita prèvia","per telefòn (dl-dj: 9-14 i de 16-19/ dv de 9-14)","30/07","31/08","1110111","17:00:00","18:00:00"," ",
"99400399663","Punt d'Informació i Atenció a les Dones de Nou Barris Zona Nord","#","Av","Rasos de Peguera","25","25","55","Ciutat Meridiana","08","Nou Barris","08033","019","BARCELONA","41.461167","2.17797","431349.821","4590279.082","431441.76","4590480.093","936197311","Cita prèvia","per telefòn (dl-dj: 9-14 i de 16-19/ dv de 9-14)","01/09","29/07","1110111","10:00:00","11:00:00","Horari per demanar cita prèvia presencialment<br><br>",
